"Category","Annual Mean","5-yr smooth"
"1901",30.31,30.29
"1902",30.31,30.09
"1903",29.8,29.9
"1904",29.19,29.75
"1905",29.76,29.64
"1906",30.02,29.59
"1907",29.71,29.62
"1908",29.62,29.7
"1909",29.89,29.82
"1910",29.6,29.94
"1911",29.86,30.03
"1912",30.33,30.07
"1913",29.9,30.06
"1914",30.11,30
"1915",30.53,29.93
"1916",29.64,29.84
"1917",29.44,29.77
"1918",29.26,29.72
"1919",30.01,29.69
"1920",29.9,29.67
"1921",29.64,29.67
"1922",29.89,29.69
"1923",29.57,29.72
"1924",29.8,29.75
"1925",29.51,29.79
"1926",29.79,29.83
"1927",29.94,29.87
"1928",29.99,29.89
"1929",29.62,29.91
"1930",30.14,29.92
"1931",30.46,29.93
"1932",29.77,29.94
"1933",29.99,29.94
"1934",29.39,29.95
"1935",29.93,29.95
"1936",29.98,29.96
"1937",30.28,29.98
"1938",30.02,30
"1939",29.85,30.04
"1940",30.14,30.07
"1941",30.27,30.11
"1942",30.2,30.15
"1943",30.05,30.18
"1944",30.13,30.21
"1945",30,30.24
"1946",30.41,30.25
"1947",30.55,30.25
"1948",30.34,30.23
"1949",29.92,30.19
"1950",29.89,30.15
"1951",30.17,30.1
"1952",30.2,30.06
"1953",30.18,30.03
"1954",30.25,30.04
"1955",29.89,30.06
"1956",29.69,30.08
"1957",30.18,30.1
"1958",30.14,30.11
"1959",30.17,30.09
"1960",30.13,30.04
"1961",30.06,29.99
"1962",29.91,29.94
"1963",29.77,29.91
"1964",30.01,29.91
"1965",29.82,29.95
"1966",30.31,30.02
"1967",29.72,30.09
"1968",30.12,30.14
"1969",30.43,30.17
"1970",30.34,30.17
"1971",29.68,30.14
"1972",30.13,30.1
"1973",30.45,30.06
"1974",29.98,30.03
"1975",30,30.03
"1976",29.78,30.06
"1977",30.15,30.1
"1978",30.15,30.15
"1979",30.44,30.2
"1980",30.32,30.25
"1981",30.06,30.3
"1982",30.22,30.35
"1983",30.72,30.39
"1984",30.28,30.45
"1985",30.45,30.51
"1986",30.32,30.57
"1987",31.06,30.63
"1988",30.86,30.67
"1989",30.38,30.69
"1990",30.66,30.68
"1991",30.59,30.64
"1992",30.64,30.58
"1993",30.53,30.52
"1994",30.59,30.45
"1995",30.35,30.41
"1996",30.03,30.38
"1997",30.36,30.38
"1998",31.1,30.39
"1999",30.12,30.4
"2000",30.24,30.41
"2001",30.43,30.42
"2002",30.4,30.42
"2003",30.38,30.41
"2004",30.41,30.4
"2005",30.47,30.38
"2006",30.49,30.35
"2007",30.36,30.31
"2008",30.03,30.29
"2009",30.11,30.27
"2010",30.51,30.28
"2011",30.11,30.31
"2012",30.53,30.37
"2013",30.55,30.45
"2014",30.46,30.53
"2015",30.7,30.6
"2016",30.88,30.66
"2017",30.35,30.7
"2018",30.69,30.72
"2019",30.71,30.73
"2020",30.82,30.73
"2021",30.74,30.72
